annual_income,tax_liens,number_of_open_accounts,years_of_credit_history,maximum_open_credit,number_of_credit_problems,months_since_last_delinquent,bankruptcies,current_loan_amount,current_credit_balance,monthly_debt,credit_score,monthly_debt_categories,years_in_current_job,years_of_credit_history_categories,credit_score_outlier,annual_income_outlier,current_loan_amount_outlier,maximum_open_credit_outlier,current_credit_balance_outlier,annual_income_na,years_in_current_job_na,months_since_last_delinquent_na,bankruptcies_na,credit_score_na,home_ownership_have_mortgage,home_ownership_home_mortgage,home_ownership_own_home,home_ownership_rent,purpose_business_loan,purpose_buy_a_car,purpose_buy_house,purpose_debt_consolidation,purpose_educational_expenses,purpose_home_improvements,purpose_major_purchase,purpose_medical_bills,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_take_a_trip,purpose_vacation,purpose_wedding,term_long_term,term_short_term,credit_default
1.4800201707077463,-0.11095342154390785,0.1770499170222909,-0.35751972531977383,0.5372475821944853,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,0.002829760687826769,1.9458412264908493,1.5416395139122097,-0.11748667384828905,1.9436276902093517,0.028913885751749396,0.003089963868537088,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-0.3461638557606242,-0.11095342154390785,0.1770499170222909,-0.25810875355298124,-0.6333131517972899,-0.3409788778582933,0.6704718389086535,-0.3370990397177327,0.508920489820163,-0.11296242837623861,0.6274161483357252,-0.8822029101750372,0.5803799882950024,-1.102007330092422,0.003089963868537088,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-0.5011191062980884,-0.11095342154390785,-0.8415711152477163,0.3241555096525187,0.3222675756748385,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,0.5369047076897507,0.4061549938219772,-0.532908801939189,0.19739648228625428,-0.7828677136193471,-1.6674679380145077,0.003089963868537088,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-0.13968291178635828,-0.11095342154390785,-0.6378469087937149,-0.24390718615772497,-0.22096205386488196,-0.3409788778582933,0.5821635518177923,-0.3370990397177327,1.2262407166791345,0.1361895673355591,0.2718894978684875,-0.4323698299828324,0.5803799882950024,1.1598351015959207,0.003089963868537088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.2957474084710762,-0.11095342154390785,-0.23039849588571198,0.11113199872367734,0.6347447962065361,-0.3409788778582933,-0.5216900368179708,-0.3370990397177327,-1.1467696114731467,-0.4601913710552721,0.14359804144988514,0.14058686754759483,0.5803799882950024,1.1598351015959207,0.003089963868537088,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.2443255766931651,-0.11095342154390785,0.1770499170222909,-0.2155040513672129,0.7940352583237317,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,1.400949526406239,2.314695831389366,0.7121052796970249,-1.6019358384825648,0.5803799882950024,-1.102007330092422,0.003089963868537088,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2.8790924398984568,-0.11095342154390785,-0.8415711152477163,-0.32911659052926173,-0.17623757009647303,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,2.6812916779258136,-0.37653153223435876,-1.2939370754393424,-0.6572863700789348,-0.7828677136193471,1.1598351015959207,0.003089963868537088,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-0.39895011662095625,-0.11095342154390785,-0.8415711152477163,0.23894610528098198,-0.7655420603299771,-0.3409788778582933,0.6263176953632229,-0.3370990397177327,1.2181535344507675,-0.8301627941904761,-0.5966352770229392,0.7821794865361205,-0.7828677136193471,1.1598351015959207,0.003089963868537088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.10381976858692074,-0.11095342154390785,-0.23039849588571198,-0.45693069708656664,-0.9251566129092625,-0.3409788778582933,1.6418629969081249,-0.3370990397177327,-1.1128804668971322,-0.751680930830566,-0.43874454994043716,-0.3873865219636119,-0.7828677136193471,1.1598351015959207,-0.7211203178198473,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
-1.3704064015645951,-0.11095342154390785,-0.8415711152477163,-0.8829777189442494,-1.0829886679470535,-0.3409788778582933,-0.47753589327254026,-0.3370990397177327,-0.5202055407325167,-1.2234858713654981,-1.0064132819364748,-0.9721695262134781,-0.7828677136193471,0.31164418971279223,-0.7211203178198473,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-1.4706215117352552,-0.11095342154390785,-1.4527437346097205,0.6507915597434084,-0.8256608410476572,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,-0.8733458313712122,-0.48455831440116914,-1.1051893183162875,1.0520793346514434,-0.7828677136193471,1.1598351015959207,0.7273002455569214,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
-0.21030620168964428,-0.11095342154390785,0.1770499170222909,1.3182652273204452,0.12376216764476267,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,1.5384316242884795,1.1079229621838131,-0.07726450509037532,-2.0517689186747696,0.5803799882950024,1.1598351015959207,1.451510527245306,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1.2137978023346863,-0.11095342154390785,-0.23039849588571198,0.6507915597434084,-0.226822689721008,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,0.8213681333732655,-0.21784181369420397,2.076858053990601,0.14058686754759483,1.9436276902093517,0.028913885751749396,0.7273002455569214,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2957474084710762,-0.11095342154390785,-0.8415711152477163,-1.0533965276873225,-0.7281636270356063,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,2.7441919841464464,-0.6435526197331476,0.5875871014083814,-0.3584199978603268,0.5803799882950024,-1.6674679380145077,-0.7211203178198473,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.8924381804146772,-0.11095342154390785,4.455258252556321,2.085149866664274,-0.226822689721008,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,2.2459958852846587,2.379877404839641,1.5574034314329268,0.5572629464400181,1.9436276902093517,0.31164418971279223,2.1757208089336904,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-0.2675989910890972,-0.11095342154390785,-0.23039849588571198,-0.47113226448182266,0.8692782606056081,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,1.2062153130660351,2.273475085562557,0.2287064259367357,-0.8822029101750372,0.5803799882950024,1.1598351015959207,-0.7211203178198473,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-1.0365451194425905,-0.11095342154390785,-0.23039849588571198,-0.6557526406201519,-0.10423547243549587,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,-0.21019688864511224,0.8301398080405865,-0.3633628379663695,0.6922128704976795,-0.7828677136193471,-1.6674679380145077,-0.7211203178198473,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.8107534113699125,-0.11095342154390785,-0.4341227023397134,0.2957523748620061,-0.5788119390891683,-0.3409788778582933,-0.43338174972710974,-0.3370990397177327,-0.2938928063101175,-0.5483184828229332,-0.7999730429151684,0.8721461025745615,-0.7828677136193471,1.1598351015959207,0.003089963868537088,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
-0.47556110178601124,-0.11095342154390785,0.1770499170222909,-1.1812106342446274,-0.7551711655430997,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,0.656415289508953,-0.2563212783945998,0.5999131432995805,-0.9271862181942576,0.5803799882950024,-0.5365467221703363,-1.4453305995082317,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.8538333030690611,-0.11095342154390785,1.603119362200301,-0.6131479384343835,-0.16937765531556973,-0.3409788778582933,-0.43338174972710974,-0.3370990397177327,-0.25589588663398016,-0.7230497723991368,0.46642294812414586,-0.3873865219636119,0.5803799882950024,0.31164418971279223,-0.7211203178198473,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
